DS_CARGO;NR_CANDIDATO;NM_CANDIDATO
DEPUTADO DISTRITAL;33003;ANA CAROLINY DA COSTA CARVALHO NUNES
DEPUTADO DISTRITAL;33663;THAYS HELENA SILVA MORAES
DEPUTADO DISTRITAL;44197;LACI MARINHO DE ARAUJO
DEPUTADO DISTRITAL;11123;ISRAEL GOMES DO NASCIMENTO
DEPUTADO DISTRITAL;11011;PEDRO PAULO DE OLIVEIRA
DEPUTADO DISTRITAL;44123;FRANCISCO CLAUDIO DE ABRANTES
DEPUTADO DISTRITAL;77023;EUGNIO RIBEIRO MAGALHAES
DEPUTADO DISTRITAL;77190;LUCIENE PACHECO DANIEL
DEPUTADO DISTRITAL;70321;ROGRIO ULYSSES TELLES DE MELLO
DEPUTADO DISTRITAL;70111;SILENE QUITERIA ALMEIDA DIAS
DEPUTADO DISTRITAL;70369;FLVIO POTIGUAR SILVA  ALVES
DEPUTADO DISTRITAL;70070;RIGONE AMORIM DE QUEIROZ
DEPUTADO DISTRITAL;15151;MARCOS ANTONIO NASCIMENTO DE ABREU
DEPUTADO DISTRITAL;15222;ANDREA CRISTINA ESTEVAM DE MELO CARVALHO
SENADOR;290;DAVID HORN PUREZA
DEPUTADO FEDERAL;3012;PAULO CESAR ECHEBARRIA DE CARVALHO
DEPUTADO FEDERAL;3010;EMILIO KERBER FILHO
DEPUTADO FEDERAL;1010;JULIO CESAR RIBEIRO
DEPUTADO FEDERAL;2525;PABLO DE SOUSA VALENTE LIMA
DEPUTADO FEDERAL;7710;LETICIA LEAL LAMOUNIER
DEPUTADO FEDERAL;2027;MAYARA NORONHA DE ALBUQUERQUE ROCHA
DEPUTADO FEDERAL;3396;LEANDRO BARROSO AGUIAR
DEPUTADO FEDERAL;4500;KARLA VINHAS DE JESUS
DEPUTADO FEDERAL;1213;ISMAEL GOUVEIA LOPES DA SILVA
DEPUTADO FEDERAL;4343;REGINALDO VERAS COELHO
DEPUTADO FEDERAL;1324;VANESSA BICHO NEGRINI
DEPUTADO FEDERAL;2900;AGUIDA MARIA LIMA BOTELHO
DEPUTADO FEDERAL;3555;MATEUS SENA COSTA
DEPUTADO FEDERAL;3522;IARA NARDIA GERMANO
DEPUTADO FEDERAL;4456;DIDIA CRISTIAN PEREIRA FERREIRA
DEPUTADO FEDERAL;7070;RODOLPHO HOTH DOS REIS
DEPUTADO FEDERAL;5566;MARIA DE LOURDES ABADIA
DEPUTADO FEDERAL;5522;ADRIANO MARANHO DO AMARAL
DEPUTADO FEDERAL;5551;GERALDO LUIZ NUGOLI COSTA
DEPUTADO FEDERAL;2733;RENATO BOTELHO MACHADO
DEPUTADO FEDERAL;2789;EDILSON MENEZES DOS SANTOS
DEPUTADO FEDERAL;1522;HLVIA MIRIDAN PARANAGU FRAGA
GOVERNADOR;30;FRANCISCO QUEIROZ CAPUTO NETO
DEPUTADO DISTRITAL;50500;NATLIA MATIAS DOS SANTOS DIEGUEZ BARREIRO
DEPUTADO DISTRITAL;50257;MARIA DA CONCEICAO PEREIRA DA SILVA
DEPUTADO DISTRITAL;50123;CLEMENTINA ARAJO BAGNO DA SILVA
DEPUTADO DISTRITAL;30061;JOS JZER DE OLIVEIRA JNIOR
DEPUTADO DISTRITAL;30300;VALTER SOARES SABOIA
